"No.","Time","Source","Destination","Protocol","Length","Info"
"10082","37.171891841","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10084","37.201139297","134.224.67.86","192.168.1.44","UDP","1259","8801  >  57091 Len=1217"
"10085","37.201851395","134.224.67.86","192.168.1.44","UDP","1181","8801  >  57091 Len=1139"
"10086","37.210039389","134.224.67.86","192.168.1.44","UDP","1181","8801  >  57091 Len=1139"
"10087","37.211493502","134.224.67.86","192.168.1.44","UDP","1181","8801  >  57091 Len=1139"
"10088","37.221534732","134.224.67.86","192.168.1.44","UDP","1180","8801  >  57091 Len=1138"
"10089","37.221687316","134.224.67.86","192.168.1.44","UDP","1180","8801  >  57091 Len=1138"
"10094","37.232250300","134.224.67.86","192.168.1.44","UDP","1180","8801  >  57091 Len=1138"
"10095","37.232408894","134.224.67.86","192.168.1.44","UDP","1180","8801  >  57091 Len=1138"
"10098","37.244620475","134.224.67.86","192.168.1.44","UDP","1212","8801  >  57091 Len=1170"
"10099","37.253801757","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10103","37.267357596","134.224.67.86","192.168.1.44","UDP","106","8801  >  53820 Len=64"
"10104","37.273963983","134.224.67.86","192.168.1.44","UDP","1081","8801  >  57091 Len=1039"
"10105","37.274101764","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"10106","37.282859271","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"10107","37.283012576","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"10113","37.305216692","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"10115","37.342594522","134.224.67.86","192.168.1.44","UDP","1190","8801  >  57091 Len=1148"
"10116","37.343839404","134.224.67.86","192.168.1.44","UDP","1190","8801  >  57091 Len=1148"
"10117","37.362798902","134.224.67.86","192.168.1.44","UDP","1190","8801  >  57091 Len=1148"
"10118","37.363973723","134.224.67.86","192.168.1.44","UDP","1190","8801  >  57091 Len=1148"
"10119","37.376114567","134.224.67.86","192.168.1.44","UDP","1190","8801  >  57091 Len=1148"
